TimeStamp	XROriginPos	XROriginRot	XRHeadPos	XRHeadRot	HandLPos	HandLRot	HandRPos	HandRRot	CollisionCount	FrameCount	ReportedEventsCount	
638134327019209505	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.12320, 2.63704, -1.09530)	(0.04185, 0.44326, -0.04957, -0.89404)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	0	806	0	
638134327019449497	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.12531, 2.63663, -1.09372)	(0.04159, 0.44314, -0.04939, -0.89413)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	0	807	0	
638134327019649511	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.13594, 2.63495, -1.08822)	(0.04237, 0.44319, -0.04901, -0.89408)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	0	810	0	
638134327019759518	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.14230, 2.63408, -1.08455)	(0.04283, 0.44344, -0.04856, -0.89396)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	0	811	0	
638134327019981979	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.14412, 2.63380, -1.08342)	(0.04295, 0.44336, -0.04864, -0.89399)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	0	813	0	
638134327020201992	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.14805, 2.63316, -1.08125)	(0.04356, 0.44348, -0.04870, -0.89390)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	0	815	0	
638134327020427208	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.15131, 2.63272, -1.07951)	(0.04419, 0.44362, -0.04872, -0.89380)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	0	817	0	
638134327020647232	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.15342, 2.63237, -1.07830)	(0.04423, 0.44365, -0.04867, -0.89378)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	0	819	0	
638134327020757214	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.15197, 2.63272, -1.07978)	(0.04457, 0.44350, -0.04881, -0.89383)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	0	820	0	
638134327020999786	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.15303, 2.63255, -1.07921)	(0.04458, 0.44348, -0.04878, -0.89385)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	0	821	0	
